index,smiles,is_valid,status
1,ccccc1cc2c3cccccc45cc6ccc7c8ccccc9-c%10cc1-c1ccc%11ccccccccc(C=O)ccc4cc4c(cc(cc8N%11O5)c65cc(O5)c2n7C)-c4(c2ccc2)c9Nc(cc%10cc1)c3,False,Molécula 1 [INVÁLIDA - Error de valencia/kekulización]
2,B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C#c12(c(-cb(C)c(C)ccc)-c(C)(c=cc)-cc)c3(cC(=C)(C)Cc(c)(cC)-c45(cC)-c(cc-4(C)(c(C)C)-c4(C)c6c(c-4)c47(=C)c(C)o#68c(=C)(c)-c-5(c)-c(=C)(c)c(C)c4(cc(c)C)c-7(c)c(C(C)C)c-8)c-3(CCCC)cc-cc-c1(C)(cC)c(-cc)CC)c(C)-c(c(cC)C(=C)cc(=C)C)C2.CC.CC.CC.CC.CC.CC.CCC.bcc.cc.cc.cc.cc.cc.cc.cc(C)C.cc(c)(C)cC.cc(c)cC.cc-ccc.ccC.ccC.ccC.ccC.ccc,False,Molécula 2 [INVÁLIDA - Error de valencia/kekulización]
3,C.cc1cc2cc3c4c(c5c6cc7c8c9c(c%10cc%11ccc(O)cc(C)c1-c1ccc%12cccc(c(c1)c1cc(c-5c(cc1-%10)n6O3)c1cc(cc1C)CN%12%11C9=O)O8)n4-7)c2c(C=O)c1cc1,False,Molécula 3 [INVÁLIDA - Error de valencia/kekulización]
4,C=C1CCC2=C3C4=c5c6n7c8cc9c(n5-9)=CC5(C)c9c%10cc%11c%12c%13ccc%14c9=C9C(=CC=6C=%12)c6cc%12cc(c3c(cc(c6)N%13C=CC(=C2)C1%11)C9C=8)C=C1C(=C2C=CC=CC3=C6C8=CC7(C2=C3)C(=C64)C(=C(C(C(C)C)=C%14)C15)C=C8%10)C%12,True,Molécula 4 [VÁLIDA]: C=C1CCC2=C3C4=c5c6n7c8cc9c(n5-9)=CC5(C)c9c%10cc%11c%12c%13ccc%14c9=C9C(=CC=6C=%12)c6cc%12cc(c3c(cc(c6)N%13C=CC(=C2)C1%11)C9C=8)C=C1C(=C2C=CC=CC3=C6C8=CC7(C2=C3)C(=C64)C(=C(C(C(C)C)=C%14)C15)C=C8%10)C%12
5,c-c1=c-c=c(-ccccc-c2=c3-c4=c-c5=c-c6=c-c-37B5c-7=c(-c=cC=c-2)C64C)C(=O)O1,False,Molécula 5 [INVÁLIDA - Error de valencia/kekulización]
6,C#N.CCCN1C2=Nc3cccccc4cc5c6cc7cc(c31)-c1cc3cc8cc9cc%10ccc2cc%10c2c%10cccc(c9c1)c1cc2c2cc(CC(C)(C)C#N)c1c2c(c(c(cccc1c(cc8C)#O=[SH]1=O)cc34)c7c56)cc(C(C)C)c%10.O,False,Molécula 6 [INVÁLIDA - Error de valencia/kekulización]
7,Cc1c2c3cc4cc5c6c(C)c78c9cc%10cc%11cc%12%13cc%14c%12c%12c%15ccc%16ccccc-%15c7cc(C#N)c7c%15cc%17c(cc%166)c(c%10-%17ccc3c%11c(cn1c5(c4%14)n7-%12)n2#%15)C(=O)C%13=C98,False,Molécula 7 [INVÁLIDA - Error de valencia/kekulización]
8,CC#N.cc1ccc2cccc3cc(C#N)c4cc5cc6cccc(ccccccc(ccc5c3)C24)cc1c6,False,Molécula 8 [INVÁLIDA - Error de valencia/kekulización]
9,O=Cc12Nc3cc4cc5-c6cc7c(c36)c5c-7-1-c4c1ccc2c2cc2c2cc(c1)c1ccccc3Bn1c2c3,False,Molécula 9 [INVÁLIDA - Error de valencia/kekulización]
10,Cc1ccc2c3c(C)ccc3c3c4cc(C#N)ccccc3c3c5c6c7cccccc8cccc9c%10cccc%11ccc(cc%12ccc(cc%11)N56c(c7)c(c1)CCC(C)(O8)C92(=N%10)N%124)P3,False,Molécula 10 [INVÁLIDA - Error de valencia/kekulización]
