index,atoms,bonds_before,bonds_after,bonds_removed,pct_bonds_removed,is_valid,smiles
1,75,89,79,10,11.2%,True,CNCCCCCC1CCCCCCCC2CCCCC3CCCC4CCCCCC5CCCC(CCCCCC(C=O)CCCCCCCCC(CC3)N5O1)CC4N2
2,264,152,126,26,17.1%,True,C=C(CCC)C(CC)C(CCC(CBC)C(C)CC)C(C)C(CC(C)CC(C)C(CC)(C(C)C(C)CCC)C(CC)C(C)C(C)CCC(C)C)C(CCCC)CCCCC(C)CC
3,65,79,68,11,13.9%,True,CC1CC(O)CCCCC2CNC(CCCC3CCCC2CC3)C2CC(=O)N(CC3CCC(C)C3)C3CCCC(CCC(CC3)C1)O2
4,79,102,86,16,15.7%,False,
5,31,37,35,2,5.4%,False,
6,84,98,81,17,17.3%,True,CCCCCCCCc1cccccc(C(C)C)ccccccccccc(C(CC)CCCCCCCCC(CCCC)[SH](=O)=O)c2c(CCCCCCC)nc1n2CCC
7,61,80,64,16,20.0%,True,CCCCCC1CC(=O)C2=C3C4CCCCCC2CCCC(N)C2CCCCCCCC2CCC(C#N)CCCC1CCCCC(C)C34
8,40,44,39,5,11.4%,True,CCCCCCCCCCCC1=C(C#N)C=CC=CC=C(CCCC)C1C(CCCC)CCCCCC
9,38,49,39,10,20.4%,True,CCCCCCCCC1C2CCC3CCCC(CC3C2)NC1C=O
10,65,78,72,6,7.7%,True,CCCC(N)C1CCCC2CCCCCCCC3C4CCC(C)(O2)C12C(CCC(C)C4)CC(C)CCCCC1CC(C#N)CCCCCC4CCN3C3CCCCCC(CC(CC3)N12)P4
11,73,91,76,15,16.5%,False,
12,32,34,31,3,8.8%,True,CCCCCCC1=CC=CC=C(CCC)O1
13,220,107,97,10,9.3%,True,CCCCCCCCCC
14,80,100,86,14,14.0%,True,CCCCC1CCC(CCC)CCCCC2CC=C(C)C(CC1)C1CCCCCC(CCCCC2)OCC(C2CCN=CC(CC)B(SCCC)CCCCC3CCN(C2)C2CCCCCC4CC(CC)B3C(C4)C2)CC1
15,57,68,56,12,17.6%,True,NC1CCCCCCCC1OC1=CC=CC=CC=CC=CC=NC=CC=C(BO)C=CC=CC=CC=CC=CC=CC=C(O)C=C1
16,71,91,76,15,16.5%,True,CCCCCCC1CCCC(=O)N2CC1CCCCCCCCCCCC1C(CCCN)CC3CCCCC4CCCC5C6CCCC2CCC5C(B3C1CCCCCC)C6NB4C=O
17,50,59,52,7,11.9%,False,
18,148,176,155,21,11.9%,False,
19,46,58,47,11,19.0%,False,
20,119,151,128,23,15.2%,False,
21,33,35,32,3,8.6%,True,C=Cc1cccccccccc(NC(=O)CCCCCCCNCN)ccc1
22,60,72,66,6,8.3%,False,
23,47,58,55,3,5.2%,True,CC1CCCC2O[SiH]3C4CCCCCC(CCC4)C45CC(=O)C(CN4)NCC4C(COC2CC1C45)N1CC(C)C1C(C)C1CCC3C1
24,107,137,110,27,19.7%,False,
25,66,75,69,6,8.0%,False,
26,98,123,100,23,18.7%,False,
27,70,87,70,17,19.5%,False,
28,44,56,50,6,10.7%,True,CCC1CCC(F)CC2CCC3CCCCCC4C5CCCC(CCCCCCCCCC(CC32C)O5)C12C(=O)C4C1CC12
29,37,43,39,4,9.3%,False,
30,82,105,92,13,12.4%,True,CCCC1CC23C4CCCC(CC4)C4CC5CCCC(CC)C(C#N)CC6CCCCCCCC7CN8C9CC4CCCCCCCC(B67)C(CCC)C8C9C(CCCCF)OC2N5CCCC1C1CCC(C)CCCCCCCC3C1
31,61,78,67,11,14.1%,True,N#CC1C2CCC3B2OC2CCCCC4CCC3B3CC(CCCC(C4)C31)OC(CC1CCCCCN1)CCCCCNC2
32,54,67,55,12,17.9%,True,CCC1CCCCCCCCCCCCN1CCCCCCCCCCCCCCCC1=CC1
33,33,36,34,2,5.6%,True,CCc1cccc2ccccc(CC(C#CC(N)CC(C)O)C(CC)CCC(C)O)oc-2n1
34,40,46,39,7,15.2%,True,CCCNCCCCCCCCCCCCCCNC
35,257,193,150,43,22.3%,True,CCBC(CC(C)C(C)(CCC)C(C)C(NPC)C(CC)CCC(C)C(C)CCCCCC)C(C(C)CC)C(C)CCC
36,35,43,36,7,16.3%,True,CC1=CC=C2C=CC=CC=CC=CC3=CC4=C(CC=C2C=CN=CC=CC(=C4)N3)N=CC=N1
37,43,56,43,13,23.2%,False,
38,53,66,56,10,15.2%,False,
39,86,110,93,17,15.5%,False,
