nickname,raw_value,raw_units,value,units,specifier,doi,record_method,,,experimental,state,
"7,9-dibromo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",0.65,eV,[0.65],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112174,QuantityModelTemplateParser,,,1,CC1CCCO1,
"9'-chloro-7'-iodo-3'l4,5l4-spiro[dibenzo[b,d]borole-5,2'-[1,3,2]oxazaborolo[5,4,3-ij]quinoline]",0.59,eV,[0.59],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112174,QuantityModelTemplateParser,,,1,CC1CCCO1,
"9-chloro-7-iodo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",0.61,eV,[0.61],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112174,QuantityModelTemplateParser,,,1,CC1CCCO1,
"7',9'-diiodo-3'l4,5l4-spiro[dibenzo[b,d]borole-5,2'-[1,3,2]oxazaborolo[5,4,3-ij]quinoline]",0.55,eV,[0.55],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112174,QuantityModelTemplateParser,,,1,CC1CCCO1,
"7,9-diiodo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",0.62,eV,[0.62],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112174,QuantityModelTemplateParser,,,1,CC1CCCO1,
"2'-(trifluoromethyl)spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene] 10',10'-dioxide",0.18,(eV),[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2023.101700,AutoTableParser,,,0,-,
"2'-(2-(trifluoromethyl)pyridin-4-yl)spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene] 10',10'-dioxide",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2023.101700,AutoTableParser,,,0,-,
"spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene]-2'-carbonitrile 10',10'-dioxide",0.02,(eV),[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2023.101700,AutoTableParser,,,0,-,
"4-(10',10'-dioxidospiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthen]-2'-yl)benzonitrile",0.01,(eV),[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2023.101700,AutoTableParser,,,0,-,
"3,6-bis(3,6-bis(diphenylamino)-9H-carbazol-9-yl)-10-phenylacridin-9(10H)-one",0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111503,AutoTableParser,,,0,-,
"3,6-bis(3,6-bis(diphenylamino)-9H-carbazol-9-yl)-10-phenylacridin-9(10H)-one",0.06,[eV],[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111503,AutoTableParser,,,1,Film,
"7-(5,9-Dioxa-13b-boranaphtho[3,2,1-de]anthracen-7-yl)benzo[5,6][1,4]oxazino[2,3,4-kl] phenoxazine",0.42,(eV),[0.42],ElectronVolt^(1.0),ΔEST,10.1016/j.matt.2023.02.002,AutoTableParser,,,1,CC1=CC=CC=C1,
"12H-chromeno[2,3-b]quinolin-12-one",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112496,QuantityModelTemplateParser,,,0,-,
"3-(9,9-dimethylacridin-10(9H)-yl)-12H-chromeno[2,3-b]quinolin-12-one",0.03,eV,[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112496,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
TDBA-Ac,0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2025.102528,AutoTableParser,,,1,CC1=CC=CC=C1,
"10-(2,12-di-tert-butyl-5,9-dioxa-13b-boranaphtho [3,2,1-de]anthracen-7-yl)-9,9-dimethyl-2-(9-phenyl-9H-fluoren-9-yl)-9,10-dihydroacridine",0.08,(eV),[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2025.102528,AutoTableParser,,,1,CC1=CC=CC=C1,
"10-(2,12-di-tert-butyl-5,9-dioxa-13b-boranaphtho [3,2,1-de]anthracen-7-yl)-9,9-dimethyl-2,7-bis(9-phenyl-9H-fluoren-9-yl)-9,10-dihydroacridine",0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2025.102528,AutoTableParser,,,1,CC1=CC=CC=C1,
"10-(2,12-di-tert-butyl-5,9-dioxa-13b-boranaphtho [3,2,1-de]anthracen-7-yl)-9,9-dimethyl-2,7-bis(9-phenyl-9H-fluoren-9-yl)-9,10-dihydroacridine",0.08,eV,[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2025.102528,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
(R)-BIPNX-BN,0.19,[eV],[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.159719,AutoTableParser,,,0,-,
(R)-8H-BIPNX-BN,0.17,[eV],[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.159719,AutoTableParser,,,0,-,
(R)-8H-BIPTZ-BN,0.13,[eV],[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.159719,AutoTableParser,,,0,-,
R-Ax-CN,0.13,[eV],[0.13],ElectronVolt^(1.0),ΔESTc,10.1016/j.cej.2023.142123,AutoTableParser,,,0,-,
R-Ax-H,0.25,[eV],[0.25],ElectronVolt^(1.0),ΔESTc,10.1016/j.cej.2023.142123,AutoTableParser,,,0,-,
R-Ax-OCH3,0.53,[eV],[0.53],ElectronVolt^(1.0),ΔESTc,10.1016/j.cej.2023.142123,AutoTableParser,,,0,-,
oPyBN,0.17,[eV],[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107312,AutoTableParser,,,0,-,
mPyBN,0.18,[eV],[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107312,AutoTableParser,,,0,-,
PymBN,0.18,[eV],[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107312,AutoTableParser,,,0,-,
