,nickname,name.compound,name.smiles
1,None,"7,9-dibromo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",BrC1=C2O[B-](C3=CC=CC=C3)(C4=CC=CC=C4)[N+]5=C2C(C(Br)=C1)=CC=C5
2,None,"9'-chloro-7'-iodo-3'l4,5l4-spiro[dibenzo[b,d]borole-5,2'-[1,3,2]oxazaborolo[5,4,3-ij]quinoline]",IC1=CC(Cl)=C(O2)C3=[N+]([B-]42C5=CC=CC=C5C6=CC=CC=C64)C=CC=C13
3,None,"9-chloro-7-iodo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",IC1=CC(Cl)=C2O[B-](C3=CC=CC=C3)(C4=CC=CC=C4)[N+]5=C2C1=CC=C5
4,None,"7',9'-diiodo-3'l4,5l4-spiro[dibenzo[b,d]borole-5,2'-[1,3,2]oxazaborolo[5,4,3-ij]quinoline]",IC1=C(O2)C3=[N+]([B-]42C5=CC=CC=C5C6=CC=CC=C64)C=CC=C3C(I)=C1
5,None,"7,9-diiodo-2,2-diphenyl-2H-2l4,3l4-[1,3,2]oxazaborolo[5,4,3-ij]quinoline",IC1=C2O[B-](C3=CC=CC=C3)(C4=CC=CC=C4)[N+]5=C2C(C(I)=C1)=CC=C5
6,None,"2'-(trifluoromethyl)spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene] 10',10'-dioxide",O=S1(C2=CC=CC=C2C3(C(C=CC=C4OC5=C6C=CC=C5)=C4N6C7=C3C=CC=C7)C8=C1C=CC(C(F)(F)F)=C8)=O
7,None,"2'-(2-(trifluoromethyl)pyridin-4-yl)spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene] 10',10'-dioxide",O=S1(C2=CC=CC=C2C3(C(C=CC=C4OC5=C6C=CC=C5)=C4N6C7=C3C=CC=C7)C8=C1C=CC(C9=CC(C(F)(F)F)=NC=C9)=C8)=O
8,None,"spiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthene]-2'-carbonitrile 10',10'-dioxide",O=S1(C2=CC=CC=C2C3(C(C=CC=C4OC5=C6C=CC=C5)=C4N6C7=C3C=CC=C7)C8=C1C=CC(C#N)=C8)=O
9,None,"4-(10',10'-dioxidospiro[quinolino[3,2,1-kl]phenoxazine-9,9'-thioxanthen]-2'-yl)benzonitrile",O=S1(C2=CC=CC=C2C3(C(C=CC=C4OC5=C6C=CC=C5)=C4N6C7=C3C=CC=C7)C8=C1C=CC(C9=CC=C(C#N)C=C9)=C8)=O
10,None,"7-(5,9-Dioxa-13b-boranaphtho[3,2,1-de]anthracen-7-yl)benzo[5,6][1,4]oxazino[2,3,4-kl] phenoxazine",C12=CC=CC=C1OC3=CC(C4=CC(OC(C=CC=C5)=C5B6C(C=CC=C7)=C7O8)=C6C8=C4)=CC9=C3N2C(C=CC=C%10)=C%10O9
